USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4869032	02411945	Southlake city	25	A	56553692	1535328	21.836	0.593	32.954493	-97.148867                                                                                                              
TX	4869072	02584740	South La Paloma CDP	57	S	2872376	0	1.109	0.	27.898769	-97.967753                                                                                                                    
TX	4869104	02411946	Southmayd city	25	A	7301868	10197	2.819	0.004	33.623061	-96.708206                                                                                                                  
TX	4869120	02413308	South Mountain town	43	A	4178651	0	1.613	0.	31.439827	-97.679265                                                                                                                    
TX	4869140	02413309	South Padre Island town	43	A	6963813	2713970	2.689	1.048	26.120465	-97.170703                                                                                                       
TX	4869194	02408770	South Point CDP	57	S	3642092	1782	1.406	0.001	25.869977	-97.381196                                                                                                                  
TX	4869272	02411947	Southside Place city	25	A	645526	266	0.249	0.	29.708686	-95.435483                                                                                                                  
TX	4869326	02408775	South Toledo Bend CDP	57	S	8408715	6328764	3.247	2.444	31.16351	-93.601865                                                                                                          
TX	4869353	02805847	Southwest Sandhill CDP	57	S	19072666	0	7.364	0.	31.556871	-102.906566                                                                                                               
TX	4869380	02408783	Spade CDP	57	S	4848455	0	1.872	0.	33.926032	-102.154242                                                                                                                             
TX	4869432	02408787	Sparks CDP	57	S	3626249	0	1.4	0.	31.672706	-106.239816                                                                                                                              
TX	4869476	02411950	Spearman city	25	A	5449892	0	2.104	0.	36.198182	-101.194343                                                                                                                         
TX	4869548	02411954	Splendora city	25	A	7874627	71893	3.04	0.028	30.228386	-95.162354                                                                                                                   
TX	4869560	02411955	Spofford city	25	A	622248	0	0.24	0.	29.173124	-100.411255                                                                                                                           
TX	4869596	02408790	Spring CDP	57	S	58249357	883677	22.49	0.341	30.062169	-95.383966                                                                                                                    
TX	4869608	02786576	Spring Branch city	25	A	5300619	27912	2.047	0.011	29.876313	-98.408543                                                                                                              
TX	4869708	02586992	Spring Gardens CDP	57	S	2594541	0	1.002	0.	27.761529	-97.741873                                                                                                                     
TX	4869764	02413325	Springlake town	43	A	2662606	0	1.028	0.	34.231621	-102.305734                                                                                                                       
TX	4869800	02411962	Springtown city	25	A	7863608	0	3.036	0.	32.9693	-97.680424                                                                                                                          
TX	4869830	02411960	Spring Valley Village city	25	A	3147973	0	1.215	0.	29.789761	-95.504026                                                                                                             
TX	4869848	02411964	Spur city	25	A	4150709	766	1.603	0.	33.476582	-100.850215                                                                                                                           
TX	4869908	02411965	Stafford city	25	A	18159620	85937	7.011	0.033	29.62572	-95.56574                                                                                                                    
TX	4869932	02413326	Stagecoach town	43	A	2983948	70932	1.152	0.027	30.141762	-95.700123                                                                                                                 
TX	4869980	02411966	Stamford city	25	A	15438443	18013270	5.961	6.955	33.046193	-99.597021                                                                                                               
TX	4870040	02411970	Stanton city	25	A	5152149	15252	1.989	0.006	32.131695	-101.792457                                                                                                                   
TX	4870052	02633299	Staples city	25	A	3875828	11492	1.496	0.004	29.762335	-97.824538                                                                                                                    
TX	4870076	02411973	Star Harbor city	25	A	1209849	222221	0.467	0.086	32.192142	-96.055069                                                                                                               
TX	4870154	02805844	Steiner Ranch CDP	57	S	17192587	0	6.638	0.	30.365377	-97.895911                                                                                                                     
TX	4870208	02411977	Stephenville city	25	A	30989295	88397	11.965	0.034	32.214544	-98.219885                                                                                                             
TX	4870232	02411979	Sterling City city	25	A	2536401	0	0.979	0.	31.839175	-100.985878                                                                                                                    
TX	4870340	02411984	Stinnett city	25	A	5138721	0	1.984	0.	35.823092	-101.44362                                                                                                                          
TX	4870376	02411986	Stockdale city	25	A	4370661	1270	1.688	0.	29.235974	-97.963888                                                                                                                      
TX	4870406	02806130	Stockton Bend city	25	A	1464981	802303	0.566	0.31	32.479189	-97.7627                                                                                                                
TX	4870460	02410003	Stonewall CDP	57	S	38933799	371259	15.032	0.143	30.253584	-98.660907                                                                                                                
TX	4870520	02410007	Stowell CDP	57	S	26027651	506458	10.049	0.196	29.77996	-94.368614                                                                                                                   
TX	4870544	02411988	Stratford city	25	A	5976465	0	2.308	0.	36.337568	-102.07603                                                                                                                         
TX	4870580	02411989	Strawn city	25	A	2016399	16648	0.779	0.006	32.550793	-98.498077                                                                                                                     
TX	4870604	02413342	Streetman town	43	A	3633578	7540	1.403	0.003	31.881835	-96.33257                                                                                                                    
TX	4870688	02584741	Study Butte CDP	57	S	12326289	9278	4.759	0.004	29.335553	-103.542609                                                                                                                
TX	4870772	02411992	Sudan city	25	A	2648760	0	1.023	0.	34.066414	-102.524194                                                                                                                            
TX	4870808	02411994	Sugar Land city	25	A	104811334	6305628	40.468	2.435	29.592764	-95.633801                                                                                                            
TX	4870868	02411996	Sullivan City city	25	A	9296677	0	3.589	0.	26.275217	-98.564441                                                                                                                     
TX	4870904	02411998	Sulphur Springs city	25	A	53198259	8742142	20.54	3.375	33.143108	-95.614702                                                                                                         
TX	4870940	02805756	Summerfield CDP	57	S	399686	0	0.154	0.	34.739899	-102.509167                                                                                                                        
TX	4871060	02412005	Sundown city	25	A	3937074	0	1.52	0.	33.457545	-102.490809                                                                                                                           
TX	4871156	02413352	Sunnyvale town	43	A	42821753	708745	16.534	0.274	32.799752	-96.55855                                                                                                                
TX	4871180	02412010	Sunray city	25	A	4422870	0	1.708	0.	36.018383	-101.824511                                                                                                                           
TX	4871228	02412011	Sunrise Beach Village city	25	A	4372297	1565070	1.688	0.604	30.586012	-98.418768                                                                                                    
TX	4871236	02805789	Sunrise Shores CDP	57	S	930619	494122	0.359	0.191	32.179227	-95.507512                                                                                                              
TX	4871264	02586993	Sunset CDP	57	S	12791287	1793	4.939	0.001	33.446847	-97.767269                                                                                                                      
TX	4871274	02584742	Sunset CDP	57	S	86476	0	0.033	0.	26.424603	-99.06212                                                                                                                                
TX	4871289	02586994	Sunset Acres CDP	57	S	43829	0	0.017	0.	27.794165	-99.456603                                                                                                                         
TX	4871324	02412014	Sunset Valley city	25	A	3614943	0	1.396	0.	30.225834	-97.815758                                                                                                                     
TX	4871356	02412004	Sun Valley city	25	A	416483	0	0.161	0.	33.670565	-95.428715                                                                                                                         
TX	4871384	02412015	Surfside Beach city	25	A	4115178	718932	1.589	0.278	28.953071	-95.283757                                                                                                            
TX	4871492	02412021	Sweeny city	25	A	5149191	0	1.988	0.	29.046373	-95.698548                                                                                                                            
TX	4871540	02412023	Sweetwater city	25	A	28659964	2421	11.066	0.001	32.469389	-100.408651                                                                                                               
TX	4871636	02805779	Sylvester CDP	57	S	2289176	5825	0.884	0.002	32.72288	-100.249929                                                                                                                    
TX	4871684	02412027	Taft city	25	A	4322910	0	1.669	0.	27.980032	-97.392828                                                                                                                              
TX	4871696	02034621	Taft Southwest CDP	57	S	1339802	0	0.517	0.	27.971231	-97.405446                                                                                                                     
TX	4871708	02412029	Tahoka city	25	A	6166567	34254	2.381	0.013	33.163777	-101.795081                                                                                                                    
TX	4871732	02412030	Talco city	25	A	1982697	3616	0.766	0.001	33.362882	-95.102269                                                                                                                       
TX	4871756	02412032	Talty town	43	A	8781042	0	3.39	0.	32.694439	-96.400763                                                                                                                              
TX	4871820	02584743	Tanquecitos South Acres CDP	57	S	1234306	0	0.477	0.	27.489792	-99.379691                                                                                                            
TX	4871824	02584744	Tanquecitos South Acres II CDP	57	S	178429	0	0.069	0.	27.486961	-99.388178                                                                                                          
TX	4871924	02412034	Tatum city	25	A	9796044	0	3.782	0.	32.315881	-94.518878                                                                                                                             
TX	4871948	02412035	Taylor city	25	A	58635405	302431	22.639	0.117	30.57203	-97.43038                                                                                                                    
TX	4871960	02412036	Taylor Lake Village city	25	A	2904512	481487	1.121	0.186	29.574804	-95.05526                                                                                                        
TX	4871966	02412037	Taylor Landing city	25	A	2932494	10949	1.132	0.004	29.866412	-94.129171                                                                                                             
TX	4872020	02412039	Teague city	25	A	13080748	501731	5.051	0.194	31.629487	-96.280818                                                                                                                   
TX	4872080	02413370	Tehuacana town	43	A	4088893	22825	1.579	0.009	31.743177	-96.540199                                                                                                                  
TX	4872176	02412046	Temple city	25	A	189175611	12540337	73.041	4.842	31.104936	-97.388512                                                                                                               
TX	4872188	02413374	Tenaha town	43	A	9697244	43312	3.744	0.017	31.943709	-94.245706                                                                                                                     
TX	4872248	02584745	Terlingua CDP	57	S	28538816	7861	11.019	0.003	29.287134	-103.58341                                                                                                                  
TX	4872284	02412050	Terrell city	25	A	85991100	3085829	33.201	1.191	32.725827	-96.298003                                                                                                                
TX	4872296	02412051	Terrell Hills city	25	A	4175286	0	1.612	0.	29.477084	-98.447196                                                                                                                     
TX	4872368	02412054	Texarkana city	25	A	82855275	1177195	31.991	0.455	33.449204	-94.085008                                                                                                              
TX	4872392	02412055	Texas City city	25	A	171624800	311608474	66.265	120.313	29.433717	-94.892695                                                                                                        
TX	4872464	02412056	Texhoma city	25	A	4915249	0	1.898	0.	36.493701	-101.793765                                                                                                                          
TX	4872476	02413379	Texline town	43	A	2631620	0	1.016	0.	36.376494	-103.018876                                                                                                                          
TX	4872530	02412058	The Colony city	25	A	36274442	5545909	14.006	2.141	33.089598	-96.903368                                                                                                             
TX	4872578	02413592	The Hills village	47	A	2777538	0	1.072	0.	30.34648	-97.986446                                                                                                                       
TX	4872581	02805799	The Homesteads CDP	57	S	9893878	0	3.82	0.	32.475488	-97.166245                                                                                                                      
TX	4872656	02410076	The Woodlands CDP	57	S	112080694	1349207	43.275	0.521	30.172562	-95.509813                                                                                                          
TX	4872740	02413385	Thompsons town	43	A	12776335	8772553	4.933	3.387	29.481768	-95.636851                                                                                                               
TX	4872758	02584746	Thompsonville CDP	57	S	10068708	0	3.888	0.	27.260012	-98.784671                                                                                                                     
TX	4872776	02412063	Thorndale city	25	A	2492592	9230	0.962	0.004	30.614023	-97.206487                                                                                                                   
TX	4872788	02413386	Thornton town	43	A	2545725	12157	0.983	0.005	31.409957	-96.573614                                                                                                                   
TX	4872800	02413387	Thorntonville town	43	A	2074114	0	0.801	0.	31.578927	-102.922073                                                                                                                    
TX	4872824	02412066	Thrall city	25	A	1205507	0	0.465	0.	30.588154	-97.297728                                                                                                                            
TX	4872872	02412068	Three Rivers city	25	A	3789848	10000	1.463	0.004	28.466853	-98.177947                                                                                                               
TX	4872896	02413388	Throckmorton town	43	A	4307759	0	1.663	0.	33.182071	-99.179771                                                                                                                      
TX	4872902	02586996	Thunderbird Bay CDP	57	S	6584665	1020811	2.542	0.394	31.909633	-99.020798                                                                                                           
TX	4872948	02409319	Tierra Bonita CDP	57	S	2348448	0	0.907	0.	26.272699	-97.827639                                                                                                                      
TX	4872950	02584747	Tierra Dorada CDP	57	S	47268	0	0.018	0.	26.400653	-98.921262                                                                                                                        
TX	4872952	02409321	Tierra Grande CDP	57	S	12191199	0	4.707	0.	27.703686	-97.571819                                                                                                                     
TX	4872954	02586997	Tierra Verde CDP	57	S	5180237	0	2.	0.	27.761571	-97.717384                                                                                                                          
TX	4872989	01388537	Tiki Island village	47	A	1233777	2887943	0.476	1.115	29.297265	-94.914945                                                                                                           
TX	4872992	02586998	Tilden CDP	57	S	900945	0	0.348	0.	28.459855	-98.548677                                                                                                                              
TX	4873030	02413594	Timbercreek Canyon village	47	A	4939040	12925	1.907	0.005	35.05345	-101.818418                                                                                                      
TX	4873057	02409324	Timberwood Park CDP	57	S	52774586	123841	20.376	0.048	29.700723	-98.483181                                                                                                          
TX	4873076	02412071	Timpson city	25	A	6505171	11215	2.512	0.004	31.906912	-94.397056                                                                                                                    
TX	4873112	02413392	Tioga town	43	A	5102956	52865	1.97	0.02	33.472108	-96.915704                                                                                                                        
TX	4873124	02413394	Tira town	43	A	3672446	61697	1.418	0.024	33.329101	-95.536066                                                                                                                       
TX	4873148	02586999	Tivoli CDP	57	S	2894055	0	1.117	0.	28.460839	-96.89147                                                                                                                              
TX	4873196	02412073	Toco city	25	A	439367	3304	0.17	0.001	33.653889	-95.649495                                                                                                                          
TX	4873224	02412074	Todd Mission city	25	A	5139797	71983	1.984	0.028	30.260944	-95.829997                                                                                                               
TX	4873268	02412075	Tolar city	25	A	2863069	0	1.105	0.	32.390005	-97.920098                                                                                                                             
TX	4873316	02412080	Tomball city	25	A	33794141	197580	13.048	0.076	30.095078	-95.619678                                                                                                                 
TX	4873328	02412079	Tom Bean city	25	A	3749624	0	1.448	0.	33.520296	-96.484218                                                                                                                          
TX	4873352	02412085	Tool city	25	A	9298189	33755	3.59	0.013	32.280535	-96.172711                                                                                                                        
TX	4873376	02409336	Tornillo CDP	57	S	8974900	0	3.465	0.	31.436704	-106.103225                                                                                                                          
TX	4873424	02805807	Tow CDP	57	S	4713928	4186333	1.82	1.616	30.887703	-98.46414                                                                                                                         
TX	4873493	02411397	Town of Pecos city	25	A	78349427	0	30.251	0.	31.391676	-103.527166                                                                                                                  
TX	4873496	02413397	Toyah town	43	A	4202607	0	1.623	0.	31.312498	-103.794612                                                                                                                            
TX	4873526	02409346	Tradewinds CDP	57	S	2805147	0	1.083	0.	27.994992	-97.260176                                                                                                                         
TX	4873562	02584748	Travis Ranch CDP	57	S	3118951	5432	1.204	0.002	32.800955	-96.478156                                                                                                                 
TX	4873580	02413398	Trent town	43	A	1045599	0	0.404	0.	32.48841	-100.123336                                                                                                                             
TX	4873592	02412092	Trenton city	25	A	4849926	4636	1.873	0.002	33.426257	-96.344594                                                                                                                     
TX	4873652	02412095	Trinidad city	25	A	38597896	575470	14.903	0.222	32.160015	-96.109524                                                                                                                
TX	4873664	02412096	Trinity city	25	A	9819129	0	3.791	0.	30.944452	-95.373563                                                                                                                           
TX	4873710	02413401	Trophy Club town	43	A	10315861	83462	3.983	0.032	32.992522	-97.172964                                                                                                               
TX	4873724	02412097	Troup city	25	A	6365650	27557	2.458	0.011	32.145812	-95.12256                                                                                                                       
TX	4873748	02412100	Troy city	25	A	12053368	23347	4.654	0.009	31.193982	-97.300358                                                                                                                      
TX	4873856	02409359	Tuleta CDP	57	S	11588161	0	4.474	0.	28.576701	-97.798026                                                                                                                            
TX	4873868	02412109	Tulia city	25	A	9213577	28812	3.557	0.011	34.537864	-101.774434                                                                                                                     
TX	4873904	02409360	Tulsita CDP	57	S	754403	0	0.291	0.	28.642329	-97.818052                                                                                                                             
TX	4873928	02805749	Tunis CDP	57	S	680133	4158	0.263	0.002	30.542276	-96.527258                                                                                                                         
TX	4873964	02412113	Turkey city	25	A	2118793	0	0.818	0.	34.393922	-100.895302                                                                                                                           
TX	4874048	02412116	Tuscola city	25	A	2213014	0	0.854	0.	32.21156	-99.798256                                                                                                                            
TX	4874132	02412121	Tye city	25	A	12434978	0	4.801	0.	32.452218	-99.866537                                                                                                                              
TX	4874144	02412122	Tyler city	25	A	149675880	1342654	57.79	0.518	32.317258	-95.305886                                                                                                                  
TX	4874168	02409377	Tynan CDP	57	S	8957667	0	3.459	0.	28.170753	-97.749176                                                                                                                              
TX	4874216	02412124	Uhland city	25	A	9885385	19789	3.817	0.008	29.966577	-97.788116                                                                                                                     
TX	4874228	02805838	Umbarger CDP	57	S	2664079	0	1.029	0.	34.956389	-102.109392                                                                                                                          
TX	4874240	02412128	Uncertain city	25	A	1390272	996	0.537	0.	32.70064	-94.133261                                                                                                                        
TX	4874312	02412132	Union Grove city	25	A	2420775	27771	0.935	0.011	32.574983	-94.915088                                                                                                                
TX	4874372	02435849	Union Valley city	25	A	6868402	42082	2.652	0.016	32.946925	-96.240293                                                                                                               
TX	4874408	02412134	Universal City city	25	A	14609961	59931	5.641	0.023	29.552	-98.307577                                                                                                               
TX	4874492	02412135	University Park city	25	A	9554778	10354	3.689	0.004	32.848624	-96.79525                                                                                                             
TX	4874576	02409383	Utopia CDP	57	S	7646606	25232	2.952	0.01	29.624088	-99.512655                                                                                                                       
TX	4874588	02412138	Uvalde city	25	A	19907443	18328	7.686	0.007	29.215184	-99.777215                                                                                                                    
TX	4874594	02409384	Uvalde Estates CDP	57	S	15325497	41343	5.917	0.016	29.168689	-99.836142                                                                                                             
TX	4874648	02413416	Valentine town	43	A	1258249	0	0.486	0.	30.588611	-104.495314                                                                                                                        
TX	4874660	02805758	Valera CDP	57	S	564504	0	0.218	0.	31.753618	-99.54927                                                                                                                               
TX	4874667	02584749	Valle Hermoso CDP	57	S	1411957	0	0.545	0.	26.382268	-98.787117                                                                                                                      
TX	4874668	02584750	Valle Verde CDP	57	S	513999	0	0.198	0.	27.679691	-99.200997                                                                                                                         
TX	4874670	02584751	Valle Vista CDP	57	S	207406	0	0.08	0.	26.316046	-98.654655                                                                                                                          
TX	4874732	02412143	Valley Mills city	25	A	3150542	2214	1.216	0.001	31.656797	-97.472648                                                                                                                
TX	4874756	02413420	Valley View city	25	A	6197498	11472	2.393	0.004	33.477348	-97.15692                                                                                                                 
TX	4874895	02409389	Val Verde Park CDP	57	S	2118375	0	0.818	0.	29.374553	-100.830616                                                                                                                    
TX	4874912	02412144	Van city	25	A	7745972	3455	2.991	0.001	32.523868	-95.63758                                                                                                                          
TX	4874924	02412145	Van Alstyne city	25	A	14381998	0	5.553	0.	33.421688	-96.583202                                                                                                                      
TX	4874984	02409503	Vanderbilt CDP	57	S	4935642	0	1.906	0.	28.820811	-96.60964                                                                                                                          
TX	4875032	02413422	Van Horn town	43	A	7349737	0	2.838	0.	31.040672	-104.834154                                                                                                                         
TX	4875068	02409500	Van Vleck CDP	57	S	18872762	64299	7.287	0.025	29.028133	-95.884566                                                                                                                  
TX	4875188	02412147	Vega city	25	A	3466375	0	1.338	0.	35.245302	-102.429247                                                                                                                             
TX	4875236	02413426	Venus town	43	A	12606881	16090	4.868	0.006	32.426217	-97.102177                                                                                                                     
TX	4875308	02412151	Vernon city	25	A	20435084	23262	7.89	0.009	34.147664	-99.300427                                                                                                                     
TX	4875428	02412155	Victoria city	25	A	96294375	511421	37.179	0.197	28.828528	-96.986015                                                                                                                
TX	4875432	02584752	Victoria Vera CDP	57	S	24445	0	0.009	0.	26.318088	-98.69296                                                                                                                         
TX	4875476	02412157	Vidor city	25	A	31119446	267942	12.015	0.103	30.128139	-93.991733                                                                                                                   
TX	4875554	02409513	Villa del Sol CDP	57	S	488772	2870	0.189	0.001	26.191904	-97.581886                                                                                                                 
TX	4875614	02409514	Villa Pancho CDP	57	S	721734	0	0.279	0.	25.884254	-97.415777                                                                                                                        
TX	4875617	02584753	Villarreal CDP	57	S	175648	0	0.068	0.	26.307121	-98.644285                                                                                                                          
TX	4875626	02409515	Villa Verde CDP	57	S	682432	0	0.263	0.	26.130081	-97.995974                                                                                                                         
TX	4875668	02413596	Vinton village	47	A	7099955	0	2.741	0.	31.959455	-106.593517                                                                                                                        
TX	4875752	02413598	Volente village	47	A	5479476	0	2.116	0.	30.445325	-97.907911                                                                                                                        
